ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
shark,goldfish,hog,tiger,ladybug,dolphin,horse,turtle,cow
sheep,pigeon,whale,fox,lizard,giraffe,horse,eagle,ladybug
monkey,frog,sheep,dog,cat,horse,pigeon,owl,snake
crocodile,pigeon,monkey,eagle,fox,bat,mouse,dog,dolphin
cat,lizard,ladybug,whale,owl,bat,rat,pigeon,bluebird
lizard,cow,bear,dog,fox,shark,snail,bat,hog
dog,butterfly,goat,elephant,bat,hog,crocodile,whale,turkey
duck,mouse,spider,dog,cow,turtle,shark,giraffe,crocodile
rat,giraffe,bear,butterfly,ant,pigeon,snake,elephant,snail
elephant,dog,bluebird,bat,monkey,mouse,giraffe,snake,spider
eagle,dolphin,giraffe,mouse,rat,pigeon,bear,sheep,crocodile
ant,cat,sparrow,snail,dog,whale,monkey,hog,cow
bat,turkey,pigeon,tiger,snake,horse,snail,cat,duck
dolphin,monkey,frog,cow,shark,whale,snake,horse,sparrow
crocodile,tiger,duck,turkey,cow,frog,sparrow,butterfly,bear
giraffe,cow,bear,snail,spider,sheep,hog,dog,elephant
goat,sheep,bat,snail,elephant,dolphin,spider,sparrow,giraffe
duck,bluebird,bat,horse,sheep,owl,snail,goat,whale
goat,tiger,shark,monkey,snake,dog,pigeon,lizard,fox
ant,elephant,fox,duck,frog,owl,goat,tiger,bluebird
lizard,rat,whale,dolphin,horse,goldfish,eagle,goat,tiger
ant,duck,rat,butterfly,giraffe,horse,fox,spider,goldfish
bear,horse,lizard,cat,ant,sparrow,giraffe,pigeon,owl
crocodile,hog,horse,dog,fox,spider,shark,snake,turtle
cat,turkey,snail,bat,bluebird,tiger,hog,ant,giraffe
frog,ladybug,eagle,elephant,dolphin,shark,rat,whale,monkey
elephant,horse,bear,frog,dolphin,sheep,turtle,crocodile,pigeon
spider,turkey,hog,cat,dolphin,lizard,bluebird,goat,cow
ladybug,duck,tiger,whale,elephant,spider,goat,eagle,bear
butterfly,ant,dog,rat,bear,goldfish,mouse,pigeon,spider
bluebird,hog,lizard,frog,horse,bear,dog,monkey,cow
goldfish,dog,giraffe,goat,lizard,pigeon,tiger,duck,cow
fox,goat,bat,ladybug,dolphin,cat,lizard,turtle,ant
sheep,dolphin,turtle,snake,hog,spider,owl,monkey,frog
rat,sheep,turtle,horse,whale,cat,eagle,bat,ladybug
turkey,eagle,bat,monkey,duck,ant,ladybug,horse,tiger
whale,eagle,rat,horse,dolphin,cat,ant,fox,sheep
ladybug,cow,turkey,sheep,pigeon,snail,monkey,rat,snake
turkey,frog,whale,horse,monkey,rat,bear,hog,spider
butterfly,ladybug,duck,giraffe,bluebird,dolphin,hog,goat,elephant
cow,snail,shark,crocodile,spider,goat,whale,duck,sheep
owl,turtle,spider,rat,lizard,crocodile,giraffe,dog,cat
spider,snake,sheep,turkey,horse,owl,goldfish,dolphin,pigeon
snail,horse,snake,mouse,dolphin,sheep,turtle,tiger,whale
owl,turkey,elephant,frog,mouse,eagle,ant,cow,sparrow
hog,elephant,bear,snail,cat,owl,bluebird,sparrow,mouse
bluebird,sparrow,turkey,crocodile,goldfish,mouse,sheep,butterfly,goat
