ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
bat,sparrow,spider,bear,rat,goldfish,goat,dolphin,lizard
elephant,eagle,turtle,goat,rat,sparrow,owl,crocodile,ant
rat,sheep,bat,horse,turtle,whale,cat,ladybug,eagle
dog,cat,mouse,dolphin,pigeon,monkey,ant,turtle,shark
frog,ladybug,whale,elephant,eagle,dolphin,shark,monkey,rat
bluebird,frog,fox,goldfish,turtle,dolphin,crocodile,bat,hog
snail,lizard,goldfish,owl,sparrow,dog,goat,turkey,frog
giraffe,ant,turtle,dolphin,ladybug,turkey,snake,sparrow,owl
lizard,rat,goat,dolphin,whale,horse,goldfish,tiger,eagle
snail,whale,eagle,butterfly,snake,bear,hog,bat,elephant
dog,butterfly,whale,elephant,goat,bat,hog,turkey,crocodile
fox,rat,whale,monkey,crocodile,eagle,duck,dog,cow
cow,ladybug,duck,goldfish,snake,bat,frog,shark,pigeon
owl,goldfish,goat,sheep,mouse,ladybug,snail,whale,sparrow
owl,turkey,cow,frog,elephant,mouse,eagle,sparrow,ant
rat,tiger,duck,lizard,dog,crocodile,fox,bluebird,sparrow
frog,whale,horse,turtle,ant,pigeon,dolphin,giraffe,duck
tiger,rat,turkey,horse,goldfish,giraffe,bear,hog,monkey
pigeon,snake,lizard,elephant,goat,monkey,bat,bluebird,hog
butterfly,ant,owl,bear,crocodile,snail,turkey,sheep,tiger
crocodile,pigeon,dog,eagle,monkey,fox,bat,dolphin,mouse
turkey,dolphin,owl,butterfly,lizard,goat,sparrow,dog,cow
monkey,ant,dolphin,dog,bat,horse,crocodile,turtle,duck
hog,eagle,crocodile,turtle,snake,shark,monkey,bat,giraffe
goat,cow,duck,sheep,rat,horse,whale,spider,mouse
giraffe,rat,cat,mouse,hog,whale,frog,lizard,sheep
mouse,horse,dog,pigeon,duck,shark,tiger,snail,ant
turtle,turkey,goat,bluebird,giraffe,crocodile,cow,elephant,shark
cow,giraffe,butterfly,ant,bear,owl,cat,horse,hog
elephant,dog,snake,bat,bluebird,monkey,mouse,spider,giraffe
ladybug,duck,eagle,whale,tiger,elephant,spider,bear,goat
monkey,rat,giraffe,fox,shark,tiger,cow,ant,duck
duck,ladybug,snake,fox,sparrow,monkey,hog,dog,shark
sheep,pigeon,eagle,fox,whale,lizard,giraffe,ladybug,horse
goldfish,dog,duck,goat,giraffe,lizard,pigeon,cow,tiger
spider,sparrow,goat,fox,mouse,bluebird,dog,bat,elephant
hog,sparrow,goat,bear,goldfish,ladybug,fox,horse,turkey
bat,owl,cat,eagle,cow,pigeon,monkey,ant,elephant
rat,giraffe,elephant,butterfly,bear,ant,pigeon,snail,snake
eagle,dog,goldfish,lizard,turtle,ladybug,monkey,shark,frog
dog,crocodile,snail,spider,duck,snake,horse,sheep,turkey
ant,lizard,dolphin,turkey,bear,bluebird,frog,turtle,crocodile
lizard,frog,bat,sparrow,snake,turtle,turkey,shark,crocodile
shark,goat,turkey,dog,whale,monkey,sparrow,bear,cat
spider,duck,monkey,giraffe,rat,ladybug,shark,frog,butterfly
spider,snake,dolphin,turkey,sheep,horse,owl,pigeon,goldfish
bear,cow,spider,goat,whale,fox,snake,bat,shark
bat,crocodile,fox,snake,snail,lizard,rat,turtle,sheep
bat,cow,giraffe,mouse,owl,dog,bluebird,ladybug,butterfly
goldfish,ladybug,turkey,ant,elephant,mouse,turtle,whale,butterfly
