ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
ladybug,cow,rat,sheep,turkey,pigeon,snail,snake,monkey
rat,goat,cat,snake,sheep,spider,shark,butterfly,turkey
sparrow,snail,lizard,monkey,rat,eagle,ant,bluebird,horse
butterfly,ant,pigeon,rat,dog,bear,goldfish,spider,mouse
rat,crocodile,dolphin,owl,turtle,goldfish,monkey,duck,ladybug
sheep,turkey,horse,dog,rat,hog,goat,dolphin,fox
snake,snail,giraffe,frog,bear,elephant,cow,dog,shark
tiger,sparrow,dolphin,monkey,sheep,elephant,ladybug,giraffe,cow
cat,lizard,pigeon,whale,ladybug,owl,bat,bluebird,rat
turkey,cat,ant,turtle,bat,pigeon,shark,giraffe,bluebird
snail,dolphin,spider,rat,ant,tiger,cat,cow,monkey
horse,duck,dog,shark,lizard,butterfly,mouse,tiger,frog
tiger,mouse,cat,pigeon,snail,frog,owl,shark,lizard
lizard,mouse,tiger,pigeon,owl,cat,duck,dolphin,ladybug
snake,fox,horse,crocodile,turkey,whale,monkey,sheep,turtle
snail,horse,tiger,mouse,snake,dolphin,sheep,whale,turtle
mouse,goat,butterfly,duck,eagle,cat,crocodile,snail,lizard
ant,cat,hog,snail,sparrow,dog,whale,cow,monkey
tiger,goat,eagle,fox,ant,snake,turtle,lizard,pigeon
snail,hog,shark,frog,bluebird,butterfly,crocodile,goat,giraffe
turtle,butterfly,giraffe,hog,horse,fox,spider,frog,crocodile
whale,owl,hog,spider,turkey,mouse,shark,dog,turtle
crocodile,pigeon,goat,ladybug,dolphin,sheep,cow,turkey,goldfish
sheep,dolphin,monkey,snake,turtle,hog,spider,frog,owl
whale,eagle,fox,horse,rat,dolphin,cat,sheep,ant
dolphin,eagle,pigeon,owl,monkey,whale,elephant,butterfly,lizard
owl,turtle,dog,rat,spider,lizard,crocodile,cat,giraffe
ant,lizard,sheep,bat,dolphin,shark,whale,dog,mouse
whale,dolphin,ant,duck,cow,shark,butterfly,lizard,owl
ant,elephant,tiger,duck,fox,frog,owl,bluebird,goat
owl,bear,eagle,dolphin,butterfly,frog,monkey,dog,rat
shark,owl,pigeon,cat,spider,sheep,whale,frog,rat
horse,bear,monkey,sparrow,elephant,dolphin,pigeon,snake,cow
goat,bear,turtle,whale,hog,ant,cow,eagle,ladybug
lizard,cow,bat,dog,bear,fox,shark,hog,snail
bluebird,duck,giraffe,snail,ladybug,mouse,goat,ant,eagle
pigeon,dog,monkey,duck,sparrow,dolphin,bat,butterfly,ant
turtle,duck,pigeon,whale,sheep,rat,goldfish,lizard,cat
hog,elephant,sparrow,snail,bear,cat,owl,mouse,bluebird
sparrow,bat,tiger,giraffe,snake,bear,sheep,dolphin,goldfish
whale,goldfish,sheep,eagle,monkey,crocodile,goat,bear,ladybug
lizard,snake,frog,duck,bluebird,mouse,butterfly,sheep,monkey
fox,dog,frog,eagle,bluebird,snake,sparrow,pigeon,horse
bear,butterfly,snail,frog,bat,cat,goat,pigeon,goldfish
shark,duck,lizard,mouse,dolphin,tiger,bluebird,ant,butterfly
horse,turkey,sheep,duck,butterfly,spider,goldfish,ant,hog
butterfly,goldfish,frog,eagle,duck,mouse,ladybug,fox,cow
goldfish,monkey,spider,cat,cow,elephant,hog,whale,lizard
turkey,eagle,horse,monkey,bat,duck,ant,tiger,ladybug
frog,tiger,owl,dog,cow,snail,snake,hog,cat
ant,goldfish,monkey,pigeon,sparrow,ladybug,eagle,spider,snake
sparrow,goldfish,owl,ladybug,dog,fox,butterfly,goat,dolphin
goat,sheep,sparrow,snail,bat,elephant,dolphin,giraffe,spider
snake,butterfly,monkey,ant,dolphin,turtle,spider,ladybug,sparrow
hog,rat,pigeon,butterfly,duck,monkey,shark,sheep,tiger
spider,turkey,goat,cat,hog,dolphin,lizard,cow,bluebird
mouse,dolphin,cow,frog,rat,snake,whale,goldfish,giraffe
giraffe,cow,dog,snail,bear,spider,sheep,elephant,hog
bluebird,sparrow,butterfly,crocodile,turkey,goldfish,mouse,goat,sheep
snail,turkey,fox,monkey,duck,pigeon,ladybug,cat,sparrow
