ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
pigeon,crocodile,bluebird,shark,turkey,elephant,bear,mouse,owl
shark,horse,snail,hog,frog,eagle,elephant,snake,spider
dolphin,cow,frog,snake,sparrow,monkey,shark,horse,whale
turtle,hog,horse,crocodile,frog,butterfly,fox,giraffe,spider
pigeon,spider,eagle,snail,horse,tiger,whale,ladybug,turtle
rat,owl,turtle,ladybug,duck,crocodile,goldfish,dolphin,monkey
tiger,horse,goldfish,monkey,hog,rat,giraffe,turkey,bear
cow,crocodile,shark,whale,sheep,snail,spider,duck,goat
goldfish,ant,elephant,butterfly,whale,ladybug,mouse,turkey,turtle
goat,snail,bat,spider,giraffe,sheep,elephant,sparrow,dolphin
crocodile,dog,horse,shark,turtle,hog,fox,snake,spider
snail,rat,ant,monkey,cow,dolphin,tiger,spider,cat
bear,elephant,eagle,duck,crocodile,cow,turtle,shark,dog
eagle,cat,whale,hog,mouse,pigeon,butterfly,duck,goat
tiger,ant,crocodile,fox,bat,dolphin,sparrow,whale,dog
spider,whale,bear,goldfish,shark,pigeon,butterfly,eagle,crocodile
dolphin,eagle,pigeon,goldfish,hog,snail,dog,turkey,cat
giraffe,dolphin,ladybug,owl,sparrow,ant,turkey,turtle,snake
dog,cow,giraffe,monkey,lizard,owl,ladybug,tiger,pigeon
shark,tiger,hog,horse,cow,goldfish,ladybug,turtle,dolphin
snail,monkey,duck,sparrow,cat,turkey,pigeon,fox,ladybug
snail,mouse,snake,turtle,whale,horse,dolphin,tiger,sheep
bear,frog,bat,goldfish,pigeon,butterfly,cat,snail,goat
lizard,duck,bluebird,monkey,sheep,snake,mouse,frog,butterfly
snail,owl,sparrow,frog,turkey,lizard,dog,goldfish,goat
duck,monkey,goat,rat,fox,dolphin,snail,cat,elephant
bluebird,shark,spider,owl,dog,rat,cat,monkey,snake
sparrow,whale,rat,horse,pigeon,turtle,spider,mouse,elephant
sparrow,pigeon,goat,shark,turtle,dog,turkey,cat,hog
horse,duck,butterfly,hog,ant,turkey,spider,sheep,goldfish
tiger,pigeon,snail,lizard,shark,mouse,frog,cat,owl
ant,bat,dolphin,mouse,dog,lizard,shark,sheep,whale
bat,bear,rat,lizard,dolphin,sparrow,goldfish,spider,goat
owl,tiger,shark,bluebird,crocodile,horse,fox,turtle,pigeon
hog,turtle,snake,giraffe,bat,eagle,shark,crocodile,monkey
spider,cat,hog,bluebird,cow,turkey,dolphin,goat,lizard
hog,goat,pigeon,horse,whale,dolphin,frog,duck,lizard
fox,eagle,bluebird,horse,pigeon,dog,snake,frog,sparrow
frog,rat,eagle,butterfly,bluebird,mouse,crocodile,fox,goat
shark,dog,whale,cat,bear,goat,monkey,turkey,sparrow
sheep,fox,whale,horse,ladybug,pigeon,lizard,eagle,giraffe
goat,crocodile,cat,shark,snake,bear,bluebird,butterfly,turtle
