ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
goldfish,turkey,butterfly,ladybug,ant,whale,elephant,turtle,mouse
elephant,cat,butterfly,turkey,shark,snail,bat,tiger,monkey
eagle,snake,ladybug,fox,elephant,horse,ant,dog,owl
dog,tiger,monkey,owl,cow,lizard,giraffe,pigeon,ladybug
cat,butterfly,hog,dog,cow,snake,dolphin,snail,sheep
fox,whale,cow,rat,monkey,dog,crocodile,duck,eagle
hog,pigeon,tiger,rat,butterfly,sheep,duck,shark,monkey
sparrow,cat,shark,dog,pigeon,turtle,goat,hog,turkey
turkey,fox,cow,crocodile,elephant,bear,goldfish,hog,lizard
duck,cat,rat,dolphin,monkey,fox,goat,elephant,snail
bear,pigeon,giraffe,horse,cat,owl,lizard,sparrow,ant
bear,rat,ladybug,tiger,horse,monkey,giraffe,hog,turkey
spider,goat,elephant,sparrow,fox,bat,mouse,dog,bluebird
butterfly,whale,turtle,bat,monkey,shark,lizard,crocodile,turkey
tiger,dolphin,cow,sparrow,monkey,giraffe,sheep,ladybug,elephant
goldfish,snail,bluebird,snake,crocodile,sparrow,sheep,horse,bat
sheep,goldfish,bat,cow,ant,duck,butterfly,elephant,bluebird
rat,duck,sparrow,tiger,lizard,bluebird,dog,fox,crocodile
sparrow,tiger,crocodile,sheep,lizard,ant,frog,duck,cow
lizard,frog,monkey,snake,duck,sheep,bluebird,butterfly,mouse
goat,lizard,pigeon,tiger,monkey,fox,shark,dog,snake
lizard,tiger,ladybug,mouse,pigeon,dolphin,owl,duck,cat
spider,goat,bluebird,turkey,cat,cow,hog,lizard,dolphin
turtle,snail,sparrow,elephant,cow,snake,cat,duck,ant
lizard,dog,giraffe,goldfish,rat,spider,ant,elephant,fox
sheep,tiger,bluebird,owl,snake,shark,mouse,elephant,cat
elephant,crocodile,turtle,horse,frog,pigeon,bear,sheep,dolphin
eagle,turtle,frog,hog,turkey,cat,sparrow,snail,cow
cow,goldfish,rat,tiger,lizard,turkey,frog,sparrow,eagle
goat,frog,goldfish,sparrow,tiger,bat,owl,monkey,turkey
fox,turtle,lizard,goat,ladybug,ant,bat,cat,dolphin
ladybug,dog,whale,giraffe,turtle,monkey,frog,elephant,snake
ladybug,eagle,cat,mouse,shark,duck,hog,fox,dolphin
snail,eagle,elephant,whale,butterfly,bat,snake,hog,bear
ladybug,butterfly,sparrow,turkey,crocodile,goldfish,horse,cow,bluebird
bear,snail,goldfish,butterfly,frog,pigeon,bat,goat,cat
eagle,sheep,bear,dolphin,mouse,crocodile,giraffe,pigeon,rat
bat,cat,elephant,owl,eagle,ant,cow,monkey,pigeon
butterfly,owl,tiger,ant,bear,sheep,crocodile,turkey,snail
crocodile,goat,goldfish,pigeon,ladybug,turkey,dolphin,cow,sheep
ant,hog,monkey,cat,snail,cow,sparrow,whale,dog
snail,fox,sparrow,turkey,monkey,cat,duck,ladybug,pigeon
goat,turtle,ladybug,bear,whale,eagle,hog,cow,ant
monkey,lizard,hog,whale,goat,sparrow,ladybug,snail,bear
cat,ant,hog,turkey,bat,giraffe,snail,tiger,bluebird
goat,butterfly,shark,bear,crocodile,snake,cat,turtle,bluebird
owl,dog,giraffe,turtle,rat,cat,spider,crocodile,lizard
mouse,cow,giraffe,dolphin,frog,goldfish,rat,whale,snake
snail,shark,giraffe,hog,frog,goat,bluebird,crocodile,butterfly
owl,turtle,bluebird,horse,tiger,crocodile,shark,pigeon,fox
ant,spider,fox,duck,butterfly,goldfish,rat,horse,giraffe
tiger,cat,lizard,mouse,pigeon,shark,snail,owl,frog
pigeon,ladybug,snail,tiger,spider,horse,eagle,turtle,whale
duck,snake,shark,ladybug,fox,dog,sparrow,hog,monkey
rat,elephant,snake,giraffe,butterfly,snail,bear,pigeon,ant
