ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
dog,giraffe,bear,frog,butterfly,bluebird,elephant,lizard,eagle
turtle,ladybug,monkey,fox,frog,bat,tiger,dolphin,mouse
hog,sparrow,elephant,owl,bluebird,mouse,bear,snail,cat
duck,giraffe,mouse,turtle,shark,crocodile,spider,dog,cow
dog,rat,goldfish,fox,turtle,sparrow,horse,snail,shark
horse,dog,duck,mouse,frog,tiger,lizard,shark,butterfly
turtle,goat,turkey,cow,shark,elephant,giraffe,bluebird,crocodile
snail,spider,dolphin,cat,monkey,cow,ant,rat,tiger
whale,ant,dolphin,butterfly,owl,lizard,cow,duck,shark
horse,owl,dolphin,cat,pigeon,turtle,ladybug,rat,snail
goat,butterfly,bear,turtle,shark,snake,cat,crocodile,bluebird
sheep,goldfish,cow,elephant,bat,duck,butterfly,ant,bluebird
lizard,bat,frog,turkey,crocodile,shark,snake,sparrow,turtle
cat,ant,turkey,tiger,hog,giraffe,snail,bat,bluebird
owl,duck,fox,snake,goat,horse,bat,hog,whale
giraffe,goat,monkey,turkey,ladybug,pigeon,crocodile,bat,duck
pigeon,giraffe,crocodile,frog,whale,bear,ladybug,sheep,fox
lizard,frog,snake,butterfly,monkey,sheep,bluebird,duck,mouse
eagle,snake,fox,dog,ladybug,horse,ant,elephant,owl
ant,dolphin,lizard,frog,crocodile,turtle,bear,turkey,bluebird
frog,goldfish,butterfly,fox,lizard,sheep,spider,snail,dog
pigeon,monkey,dog,bat,ant,butterfly,sparrow,duck,dolphin
mouse,dog,horse,tiger,ant,snail,duck,pigeon,shark
spider,eagle,pigeon,crocodile,goldfish,shark,bear,whale,butterfly
cow,duck,ladybug,frog,pigeon,shark,snake,goldfish,bat
bear,snail,butterfly,goat,goldfish,pigeon,bat,frog,cat
rat,dolphin,crocodile,monkey,ladybug,duck,turtle,owl,goldfish
pigeon,ladybug,tiger,turtle,snail,horse,eagle,spider,whale
turkey,hog,frog,rat,bear,spider,whale,horse,monkey
bear,hog,turtle,sheep,dolphin,bluebird,mouse,duck,turkey
owl,dog,turtle,crocodile,giraffe,cat,spider,rat,lizard
owl,eagle,bear,monkey,rat,dog,butterfly,dolphin,frog
monkey,giraffe,rat,cow,duck,ant,shark,fox,tiger
turtle,giraffe,butterfly,spider,crocodile,frog,horse,hog,fox
elephant,snake,dog,mouse,giraffe,spider,bluebird,bat,monkey
cow,duck,snail,goat,whale,sheep,shark,crocodile,spider
dolphin,frog,cow,duck,spider,bluebird,turtle,tiger,ant
ant,sheep,lizard,whale,mouse,dog,dolphin,bat,shark
ladybug,eagle,duck,spider,goat,bear,tiger,whale,elephant
ladybug,lizard,shark,ant,goldfish,bluebird,bat,cat,owl
goldfish,spider,monkey,hog,lizard,whale,cow,cat,elephant
